n_variable_index;c_name_variable;c_desc_variable;c_signal_ident;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_index;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
430;L1_Var430; Шнек 4 Включен;Calc;КМД №3;Шнек 4 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V335&V347;0
431;L1_Var431; Шнек 5 Включен;Calc;КМД №3;Шнек 5 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V338&V348;0
432;L1_Var432; Шнек 6 Включен;Calc;КМД №3;Шнек 6 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V338&V349;0
433;L1_Var433; Шнек 7 Включен;Calc;КМД №3;Шнек 7 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V338&V350;0
434;L1_Var434; Шнек 8 Включен;Calc;КМД №3;Шнек 8 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V338&V351;0
435;L1_Var435; Шнек 9 Включен;Calc;КМД №3;Шнек 9 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V341&V352;0
436;L1_Var436; Шнек 10 Включен;Calc;КСД №3;Шнек 10 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V341&V353;0
437;L1_Var437; Шнек 11 Включен;Calc;КСД №3;Шнек 11 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V341&V354;0
438;L1_Var438; Шнек 12 Включен;Calc;КСД №3;Шнек 12 24.2;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V341&V355;0
439;L1_Var439;УЗ-С4 25.5 - Подтверждение загрузки - сохраненное (кнопка нажата 1, клапан открыт 0);Calc;КСД №3;УЗ-С4 25.5;;0;8;7;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;V284?0:V269?1:V439;0
440;L1_Var440;УОВМ-250 18.4 Вода - Счетчик импульсов;Count;КСД №3;УОВМ-250 18.4;;0;8;46;0;0;0;0;0;0;0;0.0;0.0;0.0;0;9999;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;197;0
441;L1_Var441;УОВМ-250 18.4 Вода - Прошлая доза;Internal;КСД №3;УОВМ-250 18.4;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;9999;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
442;L1_Var442;УОВМ-250 18.4 Вода - Цена импульса;Internal;КМД №3;УОВМ-250 18.4;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;9999;0.0;0.0;0.0;;;;;;0;0;1;;0;0;;;;;;-32000;;;;;;;;;;0
443;L1_Var443;УОВМ-250 18.4 Вода - Текущая доза;Calc;Конвейер №5;УОВМ-250 18.4;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;9999;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V441*V442;0
444;L1_Var444;УОВМ-250 18.4 Вода - Тригер завершения дозирования;Calc;Конвейер №5;УОВМ-250 18.4;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V194=0&V440?V443@441*0@440:0;0
445;L1_Var445;Насос УОВМ-100К 18.2 Масло- массовый расход;AI;КСД №3;Насос УОВМ-100К 18.2;;8;8;2;59;1;0;0;0;0;0;0.0;0.0;0.0;0;100;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
446;L1_Var446;Насос УОВМ-100К 18.2 Масло- счетчик 1;AI;КМД №3;Насос УОВМ-100К 18.2;;8;7;2;59;1;0;0;0;0;0;0.0;0.0;0.0;0;99999;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
447;L1_Var447;Насос УОВМ-100К 18.2 Масло- счетчик 2;AI;КМД №3;Насос УОВМ-100К 18.2;;8;7;2;59;1;0;0;0;0;0;0.0;0.0;0.0;0;99999;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
448;L1_Var448;Нория 103 Пуск;DO;КСД №3;Нория 103;;17;1;6;62;1;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
449;L1_Var449;Нория 103 сброс ошибки ПЧ;DO;Конвейер №5;Нория 103;;17;1;6;62;2;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
450;L1_Var450;Конвейер скребковый 102 Пуск;DO;КСД №3;Конвейер скребковый 102;;17;1;6;62;3;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
451;L1_Var451;Конвейер скребковый 104 Пуск;DO;КСД №3;Конвейер скребковый 104;;17;1;6;62;4;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
452;L1_Var452;Конвейер винтовой 114 Пуск;DO;Каскад 3;Конвейер винтовой 114;;17;1;6;62;5;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
453;L1_Var453;Фильтр локальный 102.1 Пуск;DO;Каскад 3;Фильтр локальный 102.1;;17;1;6;62;6;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
454;L1_Var454;Фильтр локальный 103.2 Пуск;DO;Каскад 3;Фильтр локальный 103.2;;17;1;6;62;7;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
455;L1_Var455;Фильтр локальный 104.1 Пуск;DO;Каскад 3;Фильтр локальный 104.1;;17;1;6;62;8;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
456;L1_Var456;Вентилятор 112.1 Пуск;DO;Каскад 3;Вентилятор 112.1;;17;1;6;63;1;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
457;L1_Var457;Открыть Задвижку 107;DO;Каскад 3;Задвижка 107;;17;1;6;63;2;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
458;L1_Var458;Закрыть Задвижку 107;DO;Каскад 3;Задвижка 107;;17;1;6;63;3;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
459;L1_Var459;Открыть Задвижку 109;DO;Каскад 3;Задвижка 109;;17;1;6;63;4;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
460;L1_Var460;Закрыть Задвижку 109;DO;Каскад 3;Задвижка 109;;17;1;6;63;5;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
461;L1_Var461;Бункер 111 под дробилкой ДНУ;DO;;Бункер 111;;17;1;6;63;8;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
462;L1_Var462;Бункер 117 над дробилкой ДНУ;DO;;Бункер 117;;17;1;6;64;1;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
463;L1_Var463;Дробилка 110 Маршрут;DO;;Конвейер винтовой 114;;17;1;6;64;2;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
464;L1_Var464;Дробилка 110 Пуск;DO;;Дробилка 110;;17;1;6;64;3;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
465;L1_Var465;Дробилка 110 Стоп;DO;;Дробилка 110;;17;1;6;64;4;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
466;L1_Var466;Цепь контроля автоматических выключателей 230В в ШС18 Норма;DI;;ШС18;;17;1;2;65;1;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
467;L1_Var467;Шкаф силовой ШС19 Электропитание 400В норма;DI;;ШС19;;17;1;2;65;2;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
468;L1_Var468;Шкаф силовой ШС19 Электропитание 24В норма;DI;;ШС19;;17;1;2;65;3;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
469;L1_Var469;Нория 103 норма ПЧ;DI;;Нория 103;;17;1;2;65;4;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
470;L1_Var470;Нория 103 Включен;DI;;Нория 103;;17;1;2;65;5;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
471;L1_Var471;Нория 103 Скорость ленты;DI;;Нория 103;;17;1;2;65;6;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
472;L1_Var472;Нория 103 Датчик подпора;DI;;Нория 103;;17;1;2;65;7;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
473;L1_Var473;Нория 103 Нижний датчик сбега ленты;DI;;Нория 103;;17;1;2;65;8;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
474;L1_Var474;Нория 103 Верхний датчик сбега ленты;DI;;Нория 103;;17;1;2;66;1;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
475;L1_Var475;Конвейер скребковый 102 Контроль скорости и обрыва цепи;DI;;Конвейер скребковый 102;;17;1;2;66;2;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
476;L1_Var476;Конвейер скребковый 102 Включен;DI;;Конвейер скребковый 102;;17;1;2;66;3;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
477;L1_Var477;Конвейер скребковый 102 Подпор;DI;;Конвейер скребковый 102;;17;1;2;66;4;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
478;L1_Var478;Конвейер скребковый 104 Включен;DI;;Конвейер скребковый 104;;17;1;2;66;5;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
479;L1_Var479;Конвейер скребковый 104 Подпор;DI;;Конвейер скребковый 104;;17;1;2;66;6;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
480;L1_Var480;Конвейер скребковый 104 Контроль скорости и обрыва цепи;DI;;Конвейер скребковый 104;;17;1;2;66;7;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
481;L1_Var481;Конвейер винтовой 114 Включен;DI;;Конвейер винтовой 114;;17;1;2;66;8;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
482;L1_Var482;Конвейер винтовой 114 Контроль скорости;DI;;Конвейер винтовой 114;;17;1;2;67;1;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
483;L1_Var483;Конвейер винтовой 114 Подпор;DI;;Конвейер винтовой 114;;17;1;2;67;2;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
484;L1_Var484;Фильтр локальный 102.1 Включен;DI;;Фильтр локальный 102.1;;17;1;2;67;3;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
485;L1_Var485;Автомат контроллера фильтра локального 102.1 Включен;DI;;Фильтр локальный 102.1;;17;1;2;67;4;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
486;L1_Var486;Фильтр локальный 103.2 Включен;DI;;Фильтр локальный 103.2;;17;1;2;67;5;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
487;L1_Var487;Автомат контроллера фильтра локального 103.2 Включен;DI;;Фильтр локальный 103.2;;17;1;2;67;6;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
488;L1_Var488;Фильтр локальный 104.1 Включен;DI;;Фильтр локальный 104.1;;17;1;2;67;7;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
489;L1_Var489;Автомат контроллера фильтра локального 104.1 Включен;DI;;Фильтр локальный 104.1;;17;1;2;67;8;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
490;L1_Var490;Вентилятор 112.1 Включен;DI;;Вентилятор 112.1;;17;1;2;68;1;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
491;L1_Var491;Вентилятор 112.1 Байпас;DI;;Вентилятор 112.1;;17;1;2;68;2;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
492;L1_Var492;УПП вентилятора 112.1 Ошибка;DI;;Вентилятор 112.1;;17;1;2;68;3;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
493;L1_Var493;Фильтр локальный 112 Автомат блока продувки включен;DI;;Вентилятор 112.1;;17;1;2;68;4;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
494;L1_Var494;Клапан перекидной 115 направлен на 2.31;DI;;Клапан перекидной 115;;17;1;2;68;5;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
495;L1_Var495;Клапан перекидной 115 направлен на 102;DI;;Клапан перекидной 115;;17;1;2;68;6;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
496;L1_Var496;Клапан перекидной 116 направлен на 2.31;DI;;Клапан перекидной 116;;17;1;2;68;7;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
497;L1_Var497;Клапан перекидной 116 направлен на 102;DI;;Клапан перекидной 116;;17;1;2;68;8;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
498;L1_Var498;Задвижка 107 Открыта;DI;;Задвижка 107;;17;1;2;69;3;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
499;L1_Var499;Задвижка 107 Закрыта;DI;;Задвижка 107;;17;1;2;69;4;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
500;L1_Var500;Задвижка 109 Открыта;DI;;Задвижка 109;;17;1;2;69;5;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
501;L1_Var501;Задвижка 109 Закрыта;DI;;Задвижка 109;;17;1;2;69;6;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
502;L1_Var502;Нижний уровень 108;DI;;Бункер 108;;17;1;2;70;1;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
503;L1_Var503;Верхний уровень 108;DI;;Бункер 108;;17;1;2;70;2;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
504;L1_Var504;Нижний уровень 106;DI;;Бункер 106;;17;1;2;70;3;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
505;L1_Var505;Верхний уровень 106;DI;;Бункер 106;;17;1;2;70;4;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
506;L1_Var506;Нижний уровень 117;DI;;Бункер 117;;17;1;2;70;5;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
507;L1_Var507;Нижний уровень 111;DI;;Бункер 111;;17;1;2;70;6;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
508;L1_Var508;Дробилка 110 Норма;DI;;Дробилка 110;;17;1;2;70;7;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
509;L1_Var509;Дробилка 110 Питатель Включен;DI;;Дробилка 110 Питатель;;17;1;2;70;8;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
510;L1_Var510;Дробилка 110 Двигатель Включен;DI;;Дробилка 110;;17;1;2;71;1;0,5;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
511;L1_Var511;Нория 103 Нагрузка;AI;;Нория 103;;17;5;2;72;1;3;5529;27648;4838;29721;0.0;0.0;0.0;0;100;0.0;0.0;0.0;;;;;;1;0;0;;0;0;;;;;;8960;;;;;;;;;;0
512;L1_Var512;Дробилка 110 Разрешение от вентилятора (Байпас или работа вентилятора);Calc;;Дробилка 110;;0;8;7;0;0;1;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;1;;;;;;772;;;;;;;;;V491|E151;0
513;L1_Var513;Б 37- идет дозирование;Internal;;Б 37;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
514;L1_Var514;Б 38- идет дозирование;Internal;;Б 38;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
515;L1_Var515;Б 39- идет дозирование;Internal;;Б 39;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
516;L1_Var516;Б 40- идет дозирование;Internal;;Б 40;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
517;L1_Var517;Б 41- идет дозирование;Internal;;Б 41;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
518;L1_Var518;Б 42- идет дозирование;Internal;;Б 42;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
519;L1_Var519;Б 43- идет дозирование;Internal;;Б 43;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
520;L1_Var520;Б 44- идет дозирование;Internal;;Б 44;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
521;L1_Var521;Б 45- идет дозирование;Internal;;Б 45;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
522;L1_Var522;С40- идет дозирование;Internal;;С40;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
523;L1_Var523;С41- идет дозирование;Internal;;С41;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
524;L1_Var524;С42- идет дозирование;Internal;;С42;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
525;L1_Var525;С43- идет дозирование;Internal;;С43;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
526;L1_Var526;С44- идет дозирование;Internal;;С44;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
527;L1_Var527;С45- идет дозирование;Internal;;С45;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
528;L1_Var528;С53- идет дозирование;Internal;;С53;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
529;L1_Var529;С54- идет дозирование;Internal;;С54;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
530;L1_Var530;С55- идет дозирование;Internal;;С55;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
531;L1_Var531;С56- идет дозирование;Internal;;С56;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
532;L1_Var532;С57- идет дозирование;Internal;;С57;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
533;L1_Var533;С58- идет дозирование;Internal;;С58;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
534;L1_Var534;С66- идет дозирование;Internal;;С66;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
535;L1_Var535;С67- идет дозирование;Internal;;С67;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
536;L1_Var536;С68- идет дозирование;Internal;;С68;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
537;L1_Var537;С69- идет дозирование;Internal;;С69;;0;8;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
