id;n_variable_index;c_name_variable;c_desc_variable;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_id_id;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
250;250;250;11M1.SP;Каскад 1;ПИД;11PID;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
251;251;251;11M1.MVSP;Каскад 1;ПИД;11PID;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
252;252;252;LIC-03.SP;Каскад 1;ПИД;24PID;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
253;253;253;24M1.MVSP;Каскад 1;ПИД;24PID;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
254;254;254;ALARML;Каскад 1;Последовательность;1.Cascad;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;33815.0;0.0;0.0;0.0;0.0;;;;;V51&V57&V66&V100&V102&V110&V136&V143&V146&V154&V106&V156;0.0
255;255;255;DT-14-11.F;Каскад 1;Маслосистема;M1;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.0;0.0;150.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V17-V36;0.0
256;256;256;2ZS_BOTH_OPCL;Каскад 1;Маслосистема;M1;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33815.0;0.0;0.0;0.0;0.0;;;;;V111~V112=0;0.0
257;257;257;M1L.F.VT60;Каскад 1;Маслосистема;M1;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1000.0;1.0;0.0;1.0;-1000.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;H12|H13|H14|H15&(E17<1)&E26?V257+1:-60;0.0
258;258;DR.L1.K3A.CMD_Start;11M1.RUN;Каскад 1;Конвейер;1.11M1;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;0.0;1.0;-1.0;;;;;;;;;;;;;;;;;33799.0;0.9;0.0;-0.9;0.0;;;;;h10*E26-L10-E46;5.0
259;259;DR.L1.SEQ.Mode_Local;LOCAL;Каскад 1;Последовательность;1.Cascad;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V135|V142|V145;0.0
260;260;DR.L1.PIT3.L;LIC-02.HILO;Каскад 1;ПИД;1PID;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.0;3.0;0.0;3.0;-3.0;;;;;;;;;;;;;;;;;33799.0;45536;45537;-1.9;-2.9;;;;;(l10*E45*2+l10*E4-h10*3+h10*E1)*E6*(E49<0.4)*(E47<0.4);15.0
261;261;DR.L1.SD1_GS.Gap_Calib_Perm;MS-01.K;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
262;262;DR.L1.MD1_GS.Gap_Calib_Perm;MS-03.K;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
263;263;DR.L1.SD1_GS_Gap_SP;MS-01.SP;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;20.0;0.0;20.0;6.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
264;264;DR.L1.MD1_GS.Gap_SP;MS-03.SP;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;20.0;0.0;20.0;6.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
265;265;DR.L1.SD1_GS.Gap_PV;MS-01.ME;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
266;266;DR.L1.MD1_GS.Gap_PV;MS-03.ME;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
267;267;DR.L1.SD1_GS.Gap_Corr_Perm;MS-01.OP;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
268;268;DR.L1.MD1_GS.Gap_Corr_Perm;MS-03.OP;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
269;269;DR.L1.SD1_GS.Underlay_Thickness;MS-01.d0;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
270;270;DR.L1.MD1_GS.Underlay_Thickness;MS-03.d0;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
271;271;DR.L1.SD1_GS.Gap_Calc;MS-01.C;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;7.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V79?V269@265*0+V76*2+V77:V76*2+V77=V271?V271:E40+E41?V265+0.045*(E40-E41)@265*0+V76*2+V77:V76*2+V77;0.0
272;272;DR.L1.MD1_GS.Gap_Calc;MS-03.C;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V277?V270Q266*0+V116*2+V117:V116*2+V117=V272?V272:V231+V232?V266+0.0575*(V231-V232)@266*0+V116*2+V117:V116*2+V117;0.0
273;273;DR.L1.SD1_GS.Delta_PV_SP;MS-01.D;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;7.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20.0;20.0;0.0;20.0;-20.0;;;;;;;;;;;;;;;;;33799.0;0.05;0.18;-0.05;-0.18;;;;;V263-V265;15.0
274;274;DR.L1.MD1_GS.Delta_PV_SP;MS-03.D;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20.0;20.0;0.0;20.0;-20.0;;;;;;;;;;;;;;;;;33799.0;0.06;0.23;-0.06;-0.23;;;;;V264-V266;15.0
275;275;DR.L1.MD1_GS.CMD_Start_Zazh_Manual;SS4.M;Каскад 1;Шкаф гидравлики;SOL9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V215|V216&V221;0.0
276;276;DR.L1.MD1_GS.P_FK_Max;PIT-6.M;Каскад 1;Шкаф гидравлики;SOL3;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1000.0;250.0;0.0;250.0;-1000.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V232=0?-1000:V276<0?V276+1:V276=0?V246+14:V276;0.0
277;277;DR.L1.MD1_GS.FK_On;PIT-6.S;Каскад 1;Шкаф гидравлики;SOL3;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;(V276>0)&(V246>V276)|h246&V232|H246;0.0
278;278;DR.L1.MD1_GS.CMD_Lmp_m_HL;LT4.С;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V222@239;0.0
279;279;DR.L1.MD1_GS.CMD_Lmp_FTR_Clog;LT6.С;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;V223@240;0.0
280;280;DR.L1.MD1_GS.CMD_Lmp_Zazh_HL;LT2.С;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;Q244<192|L244&V255@241;0.0
281;281;DR.L1.MD1_GS.CMD_Lmp_Razh_HL;LT3.С;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;Q245<192|L245&V255@242;0.0
282;282;DR.L1.MD1_GS.CMD_Lmp_m_TA;LT5.С;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;Q247<192|H247@243;0.0
283;283;DR.L1.SD1_GS.ST_Started;MS-01.M;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
284;284;DR.L1.MD1_GS.ST_Started;MS-03.M;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
285;285;DR.L1.MD1_GS.CMD_Start_Zazh_Auto;PIT-1.C;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;33799.0;0.0;0.0;0.0;0.0;;;;;E28+E29+E30+E31=0&l244&(E20|E21);0.0
